facility_type,name,road_address,jibun_address,district,facility_kind,hub_suitability,address
lifelong_education,늘푸른평생교육원,"대전광역시 대덕구 회덕로21번길 71(신대동), 1층",,대덕구,시민사회단체부설,rule_include,"대전광역시 대덕구 회덕로21번길 71(신대동), 1층"
lifelong_education,글로벌에듀테크평생교육원,"대전광역시 중구 계백로 1547(유천동), 4층",,중구,시민사회단체부설,rule_include,"대전광역시 중구 계백로 1547(유천동), 4층"
lifelong_education,푸른봄배움터평생교육원,"대전광역시 중구 대흥로157번길 48(대흥동), 4층",,중구,시민사회단체부설,rule_include,"대전광역시 중구 대흥로157번길 48(대흥동), 4층"
lifelong_education,열두달장독대아카데미,"대전광역시 동구 계족로 88(신흥동), 2층일부",,동구,시민사회단체부설,ambiguous,"대전광역시 동구 계족로 88(신흥동), 2층일부"
lifelong_education,한성평생교육원,"대전광역시 동구 한밭대로1237번길 37-24(용전동), 3층",,동구,시민사회단체부설,rule_include,"대전광역시 동구 한밭대로1237번길 37-24(용전동), 3층"
lifelong_education,국제교육문화센터서대전지사,"대전광역시 중구 계룡로 932(대사동), 3층",,중구,언론기관부설,ambiguous,"대전광역시 중구 계룡로 932(대사동), 3층"
lifelong_education,교차로신문문화센터,"대전광역시 동구 동서대로 1669(용전동), 2층",,동구,언론기관부설,ambiguous,"대전광역시 동구 동서대로 1669(용전동), 2층"
lifelong_education,대전총신평생교육원,"대전광역시 대덕구 대전로1033번길 25(오정동), 202호,3,4층",,대덕구,언론기관부설,rule_include,"대전광역시 대덕구 대전로1033번길 25(오정동), 202호,3,4층"
lifelong_education,브레인평생교육원,"대전광역시 중구 선화서로 52(선화동), 3층",,중구,언론기관부설,rule_include,"대전광역시 중구 선화서로 52(선화동), 3층"
lifelong_education,제이에스엘인재개발원,"대전광역시 중구 계룡로 825(용두동), 5~7층일부",,중구,언론기관부설,ambiguous,"대전광역시 중구 계룡로 825(용두동), 5~7층일부"
lifelong_education,비욘드그룹평생교육원,"대전광역시 중구 계백로 1711(오류동), 3층",,중구,언론기관부설,rule_include,"대전광역시 중구 계백로 1711(오류동), 3층"
lifelong_education,글로벌식문화평생교육원,"대전광역시 중구 태평로 143(태평동), 602호",,중구,언론기관부설,rule_include,"대전광역시 중구 태평로 143(태평동), 602호"
lifelong_education,유즈필라테스송촌점평생교육원,"대전광역시 대덕구 계족산로81번길 101(송촌동), 5층",,대덕구,언론기관부설,rule_include,"대전광역시 대덕구 계족산로81번길 101(송촌동), 5층"
lifelong_education,그로스평생교육원,"대전광역시 중구 대종로 456(대흥동), 5층",,중구,언론기관부설,rule_include,"대전광역시 중구 대종로 456(대흥동), 5층"
lifelong_education,힘찬건설평생교육원,"대전광역시 동구 계족로 271(소제동), 2,3층",,동구,언론기관부설,rule_include,"대전광역시 동구 계족로 271(소제동), 2,3층"
lifelong_education,주은필라테스평생교육원,"대전광역시 동구 은어송로51번길 5(가오동), 6층",,동구,언론기관부설,rule_include,"대전광역시 동구 은어송로51번길 5(가오동), 6층"
lifelong_education,글로벌한평생교육원,"대전광역시 중구 계룡로 825(용두동), 8층",,중구,지식인력개발형태,rule_include,"대전광역시 중구 계룡로 825(용두동), 8층"
lifelong_education,라온요가필라테스평생교육원,"대전광역시 동구 동서대로1683번길 33-11 (용전동), 101호",,동구,언론기관부설,rule_include,"대전광역시 동구 동서대로1683번길 33-11 (용전동), 101호"
lifelong_education,케이에이지이(KAGE)교육학술원평생교육원,"대전광역시 서구 둔산대로117번길 22, 4층 일부, 5층 일부 (만년동)",,서구,지식인력개발형태,rule_include,"대전광역시 서구 둔산대로117번길 22, 4층 일부, 5층 일부 (만년동)"
