facility_type,name,road_address,jibun_address,district,facility_kind,hub_suitability,address,위도,경도,geocode_method,needs_review
youth_facility,탄방동청소년문화의집,대전시 서구 도솔로412번길 32,,서구,문화의집,,대전시 서구 도솔로412번길 32,36.3414520769003,127.391466119924,도로명원본,False
youth_facility,유성구청소년수련관,대전시 유성구 북유성대로 158,,유성구,수련관,,대전시 유성구 북유성대로 158,36.380657874996,127.323700039148,도로명원본,False
youth_facility,장대청소년문화의집,대전시 유성구 유성대로730번길 51. 3층,,유성구,문화의집,,대전시 유성구 유성대로730번길 51. 3층,36.3581192980157,127.335412303909,도로명원본,False
youth_facility,구즉청소년문화의집,대전시 유성구 금남구즉로 1428,,유성구,문화의집,,대전시 유성구 금남구즉로 1428,36.4418376724448,127.384944011044,도로명원본,False
youth_facility,대흥동청소년문화의집,대전시 중구 대흥로 128,,중구,문화의집,,대전시 중구 대흥로 128,36.3234073343676,127.426400262193,도로명원본,False
lifelong_education,학력인정 대전시립중고등학교,대전광역시 동구 동대전로 144번길 47,,동구,학교형태,ambiguous,대전광역시 동구 동대전로 144번길 47,36.3343868103654,127.448872525775,도로명원본,False
lifelong_education,(사)한국장애인정보화협회대전광역시평생교육원,"대전광역시 중구 대흥로 9(문화동), 4,5층",,중구,시민사회단체부설,rule_include,"대전광역시 중구 대흥로 9(문화동), 4,5층",36.3214268392682,127.415129200866,키워드,False
lifelong_education,아우름평생교육원,"대전광역시 대덕구 한밭대로 1141(중리동), 4층",,대덕구,시민사회단체부설,rule_include,"대전광역시 대덕구 한밭대로 1141(중리동), 4층",36.3593495091967,127.425138581547,도로명원본,False
lifelong_education,한마음시민학교평생교육원,"대전광역시 중구 대흥로 26(대사동), 6층",,중구,시민사회단체부설,rule_include,"대전광역시 중구 대흥로 26(대사동), 6층",36.3219348041791,127.416846660666,도로명원본,False
lifelong_education,대전동구장애인평생교육원,"대전광역시 동구 태전로 52(삼성동), 502호",,동구,시민사회단체부설,rule_include,"대전광역시 동구 태전로 52(삼성동), 502호",36.3348441233169,127.428378118327,도로명원본,False
lifelong_education,늘푸른평생교육원,"대전광역시 대덕구 회덕로21번길 71(신대동), 1층",,대덕구,시민사회단체부설,rule_include,"대전광역시 대덕구 회덕로21번길 71(신대동), 1층",36.3958369170764,127.421335052406,도로명원본,False
lifelong_education,글로벌에듀테크평생교육원,"대전광역시 중구 계백로 1547(유천동), 4층",,중구,시민사회단체부설,rule_include,"대전광역시 중구 계백로 1547(유천동), 4층",36.317359835882,127.392200612753,도로명원본,False
lifelong_education,푸른봄배움터평생교육원,"대전광역시 중구 대흥로157번길 48(대흥동), 4층",,중구,시민사회단체부설,rule_include,"대전광역시 중구 대흥로157번길 48(대흥동), 4층",36.3267341574076,127.428330604583,도로명원본,False
lifelong_education,열두달장독대아카데미,"대전광역시 동구 계족로 88(신흥동), 2층일부",,동구,시민사회단체부설,ambiguous,"대전광역시 동구 계족로 88(신흥동), 2층일부",36.3221877292501,127.445124569349,도로명원본,False
lifelong_education,한성평생교육원,"대전광역시 동구 한밭대로1237번길 37-24(용전동), 3층",,동구,시민사회단체부설,rule_include,"대전광역시 동구 한밭대로1237번길 37-24(용전동), 3층",36.3589716871284,127.436203547241,도로명원본,False
lifelong_education,국제교육문화센터서대전지사,"대전광역시 중구 계룡로 932(대사동), 3층",,중구,언론기관부설,ambiguous,"대전광역시 중구 계룡로 932(대사동), 3층",36.3196373453578,127.415551118233,도로명원본,False
lifelong_education,교차로신문문화센터,"대전광역시 동구 동서대로 1669(용전동), 2층",,동구,언론기관부설,ambiguous,"대전광역시 동구 동서대로 1669(용전동), 2층",36.3489721509227,127.435076192131,도로명원본,False
lifelong_education,대전총신평생교육원,"대전광역시 대덕구 대전로1033번길 25(오정동), 202호,3,4층",,대덕구,언론기관부설,rule_include,"대전광역시 대덕구 대전로1033번길 25(오정동), 202호,3,4층",36.3461625460611,127.416438935447,도로명원본,False
lifelong_education,브레인평생교육원,"대전광역시 중구 선화서로 52(선화동), 3층",,중구,언론기관부설,rule_include,"대전광역시 중구 선화서로 52(선화동), 3층",36.3282830582105,127.418033951717,도로명원본,False
lifelong_education,제이에스엘인재개발원,"대전광역시 중구 계룡로 825(용두동), 5~7층일부",,중구,언론기관부설,ambiguous,"대전광역시 중구 계룡로 825(용두동), 5~7층일부",36.3267436401219,127.407842635601,키워드,False
lifelong_education,비욘드그룹평생교육원,"대전광역시 중구 계백로 1711(오류동), 3층",,중구,언론기관부설,rule_include,"대전광역시 중구 계백로 1711(오류동), 3층",36.3218699632359,127.409402713409,도로명원본,False
lifelong_education,글로벌식문화평생교육원,"대전광역시 중구 태평로 143(태평동), 602호",,중구,언론기관부설,rule_include,"대전광역시 중구 태평로 143(태평동), 602호",36.3293836213929,127.396220307928,도로명원본,False
lifelong_education,유즈필라테스송촌점평생교육원,"대전광역시 대덕구 계족산로81번길 101(송촌동), 5층",,대덕구,언론기관부설,rule_include,"대전광역시 대덕구 계족산로81번길 101(송촌동), 5층",36.3664911844852,127.436736794033,도로명원본,False
lifelong_education,그로스평생교육원,"대전광역시 중구 대종로 456(대흥동), 5층",,중구,언론기관부설,rule_include,"대전광역시 중구 대종로 456(대흥동), 5층",36.32547688991,127.428038621941,도로명원본,False
lifelong_education,힘찬건설평생교육원,"대전광역시 동구 계족로 271(소제동), 2,3층",,동구,언론기관부설,rule_include,"대전광역시 동구 계족로 271(소제동), 2,3층",36.81069406915504,127.14899585554843,manual_override,False
lifelong_education,주은필라테스평생교육원,"대전광역시 동구 은어송로51번길 5(가오동), 6층",,동구,언론기관부설,rule_include,"대전광역시 동구 은어송로51번길 5(가오동), 6층",36.3059724224437,127.455023382367,도로명원본,False
lifelong_education,글로벌한평생교육원,"대전광역시 중구 계룡로 825(용두동), 8층",,중구,지식인력개발형태,rule_include,"대전광역시 중구 계룡로 825(용두동), 8층",36.3267842155492,127.407836053487,도로명원본,False
lifelong_education,라온요가필라테스평생교육원,"대전광역시 동구 동서대로1683번길 33-11 (용전동), 101호",,동구,언론기관부설,rule_include,"대전광역시 동구 동서대로1683번길 33-11 (용전동), 101호",36.3500204770478,127.435622774116,도로명원본,False
