"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","일반교실","교과교실","특별교실","수준별교실","기타","시청각실","컴퓨터실","멀티미디어실","기타","교원지원공간","관리행정공간","체육집회공간","보건실","학생탈의실","학생샤워실","남자화장실","여자화장실","공용화장실","학생식당","기숙사실수","기타공간"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000211","명석고등학교","04","사립","N","","38","","9","","","","2","","","","24","2","1","","6","14","","","1","","3"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000212","보문고등학교","04","사립","N","","36","4","6","3","6","","1","","","1","19","3","1","","1","10","2","","1","",""
"대전광역시교육청","대전광역시교육청","대전광역시 대덕구","S060000213","대전이문고등학교","04","사립","N","","24","11","17","","1","","1","","","3","15","4","1","","","7","7","1","1","",""
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000214","서대전고등학교","04","사립","N","","31","","9","","4","","1","","","4","23","2","1","1","1","12","5","","1","","7"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000216","서대전여자고등학교","04","사립","N","","24","7","5","","","","1","","","10","15","1","1","","","1","9","","1","",""
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000217","서일고등학교","04","사립","N","","27","6","4","","5","","1","","2","2","18","1","1","2","2","12","3","","1","","12"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000219","서일여자고등학교","04","사립","N","","24","5","11","","1","","1","1","1","2","28","1","1","","2","6","15","1","1","","8"
"대전광역시교육청","대전광역시교육청","대전광역시 대덕구","S060000223","신탄진고등학교","04","공립","N","","26","","7","3","1","1","1","","2","8","16","1","1","","4","10","11","","1","","11"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000225","우송고등학교","04","사립","N","","","41","6","","","","1","1","","15","21","2","1","","","8","11","","1","","2"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000226","유성고등학교","04","공립","N","","37","","6","","","1","2","","1","4","20","1","1","1","1","12","3","","1","","5"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000228","유성생명과학고등학교","04","공립","N","","44","1","50","","1","3","1","1","8","20","42","2","1","6","3","22","22","2","2","11","19"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000229","유성여자고등학교","04","사립","N","","24","6","5","1","1","","1","1","8","7","30","1","1","2","1","4","20","","2","9","1"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000231","중일고등학교","04","사립","N","","24","5","5","","","1","1","","1","13","26","1","1","2","2","8","8","","2","","13"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000232","청란여자고등학교","04","사립","N","","24","","5","","2","1","1","","","","19","1","1","","","2","4","","1","",""
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000233","충남고등학교","04","공립","N","","38","7","6","4","","1","1","","","2","19","1","1","","","10","4","","1","",""
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000234","충남기계공업고등학교","04","공립","N","","44","65","7","","1","2","","3","1","24","22","1","1","","","25","5","5","2","66","36"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000236","충남여자고등학교","04","공립","N","","42","","5","","","1","","","1","7","21","1","1","1","1","3","16","","1","","10"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000239","한밭고등학교","04","공립","N","","32","4","4","","","1","1","","2","3","20","4","1","2","2","10","12","","1","","2"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000243","호수돈여자고등학교","04","사립","N","","31","1","3","4","","","1","","3","13","33","3","1","1","","5","10","2","1","","2"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060001048","대전반석고등학교","04","공립","N","","32","3","5","","","1","1","","1","4","30","1","1","","","11","11","","1","","7"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060001049","대전구봉고등학교","04","공립","N","","29","9","7","","","1","1","","2","10","18","1","1","3","","15","17","","1","","3"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060001085","대전전민고등학교","04","공립","N","","31","1","6","","3","1","1","","","19","11","1","1","2","","10","10","","1","",""
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060001086","대전괴정고등학교","04","공립","N","","32","4","6","","","1","1","","","3","20","1","1","","2","12","12","","2","","1"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060001089","대전지족고등학교","04","공립","N","","34","7","10","","2","1","1","","3","4","20","1","1","1","","15","19","","1","","2"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060001112","대전용산고등학교","04","공립","N","","32","5","4","","","1","1","","4","6","15","1","1","","","15","15","","1","4","9"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060001145","대전가오고등학교","04","공립","N","","27","4","5","","","1","1","","9","2","17","2","1","3","1","10","10","","1","","5"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060001177","대전복수고등학교","04","공립","N","","26","6","6","","","1","1","","2","6","15","1","1","","","11","11","","1","","3"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060001274","대전도안고등학교","04","공립","N","","34","7","5","","1","1","1","","2","9","13","1","1","2","","17","17","","1","","1"
