학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000004819,연천왕산초등학교,초등학교,1963-02-01,공립,본교,운영,경기도 연천군 미산면 우정리 397,경기도 연천군 미산면 왕산로 15,7530000,경기도교육청,7701000,경기도연천교육지원청,2013-11-29,2025-10-25,38.0562563151,127.0110148288,2026-03-20
B000010490,금성중학교,중학교,1967-12-26,사립,본교,운영,전라남도 나주시 대호동 899-1,전라남도 나주시 건재로 41,8490000,전라남도교육청,8531000,전라남도나주교육지원청,2013-11-29,2025-10-25,35.0380384029,126.7122909528,2026-03-20
B000012427,수원여자고등학교,고등학교,1936-04-15,공립,본교,운영,경기도 수원시 팔달구 고등동 19-1,경기도 수원시 팔달구 고등로59번길 72,7530000,경기도교육청,7541000,경기도수원교육지원청,2013-11-29,2025-10-25,37.27682819,127.0043550458,2026-03-20
B000007241,봉황초등학교,초등학교,2008-09-01,공립,본교,운영,경상북도 경산시 진량읍 봉회리 81-14,경상북도 경산시 진량읍 봉황길 50,8750000,경상북도교육청,8851000,경상북도경산교육지원청,2013-11-29,2025-10-25,35.8830025505,128.8237438,2026-03-20
B000026109,한민고등학교,고등학교,2014-03-01,사립,본교,운영,경기도 파주시 광탄면 용미리 704-10,경기도 파주시 광탄면 혜음로 765,7530000,경기도교육청,7681000,경기도파주교육지원청,2013-11-29,2025-10-25,37.7580567942,126.8580361674,2026-03-20
B000003933,대부초등학교,초등학교,1922-07-05,공립,본교,운영,경기도 안산시 단원구 대부북동 181,경기도 안산시 단원구 대부중앙로 56,7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,2025-10-25,37.245613964,126.580544941,2026-03-20
B000013252,청송고등학교,고등학교,1954-05-28,공립,본교,운영,경상북도 청송군 청송읍 금곡리 815-3,경상북도 청송군 청송읍 금곡1길 13,8750000,경상북도교육청,8881000,경상북도청송교육지원청,2013-11-29,2025-10-25,36.4300033403,129.0576987117,2026-03-20
B000011266,김녕중학교,중학교,1947-10-03,공립,본교,운영,제주특별자치도 제주시 구좌읍 김녕리 1726-2,제주특별자치도 제주시 구좌읍 김녕로 118-20,9290000,제주특별자치도교육청,9296000,제주특별자치도제주시교육지원청,2013-11-29,2025-10-25,33.5526669518,126.750770106,2026-03-20
B000004034,두창초등학교,초등학교,1971-03-13,공립,본교,운영,경기도 용인시 처인구 원삼면 두창리 871,경기도 용인시 처인구 원삼면 복분로 29,7530000,경기도교육청,7751000,경기도용인교육지원청,2013-11-29,2025-10-25,37.1583460063,127.3428370372,2026-03-20
B000004845,오동초등학교,초등학교,1949-04-01,공립,본교,운영,강원특별자치도 춘천시 신북읍 발산리 473-2,강원특별자치도 춘천시 신북읍 장본길 74,7801000,강원특별자치도교육청,7812000,강원특별자치도춘천교육지원청,2013-11-29,2025-10-25,37.9518404156,127.758003989,2026-03-20
