학교명,SAI_before,SAI_after,공동수업과목수,공동수업참여가능,SAI_delta,algorithm
중일고등학교,74.87224827081133,84.00243956117657,2,대전용산고등학교:진로·융합(0.6km); 대전이문고등학교:정보·AI(4.3km),9.130191290365246,rl_policy
대전전민고등학교,75.97554358625887,84.8450401510288,2,서대전고등학교:정보·AI(5.0km); 대전용산고등학교:진로·융합(2.5km),8.869496564769932,rl_policy
대전둔산여자고등학교,80.06090166329491,88.80653366014265,4,서대전여자고등학교:정보·AI(2.8km); 서대전고등학교:정보·AI(0.9km); 호수돈여자고등학교:진로·융합(4.7km); 서대전여자고등학교:제2외국어·국제(2.8km),8.745631996847735,rl_policy
대덕고등학교,77.99512423989293,86.40347436678634,2,서대전고등학교:정보·AI(3.2km); 대전용산고등학교:진로·융합(3.9km),8.40835012689341,rl_policy
대전이문고등학교,79.97076667650514,87.9780052503361,2,대전용산고등학교:진로·융합(3.8km); 대전이문고등학교:정보·AI(0.0km),8.00723857383096,rl_policy
남대전고등학교,75.26052646357951,83.21885743173955,1,호수돈여자고등학교:진로·융합(2.1km),7.958330968160041,rl_policy
대전둔원고등학교,85.08936331126027,89.68852087557113,7,서대전여자고등학교:정보·AI(1.7km); 서대전고등학교:정보·AI(2.0km); 대전관저고등학교:정보·AI(4.8km); 호수돈여자고등학교:진로·융합(4.1km); 대전관저고등학교:제2외국어·국제(4.8km); 대전관저고등학교:진로·융합(4.8km),4.5991575643108575,rl_policy
대전중앙고등학교,82.85351840185919,86.78497758715076,5,명석고등학교:정보·AI(3.9km); 서대전여자고등학교:정보·AI(4.2km); 서대전고등학교:정보·AI(4.7km); 호수돈여자고등학교:진로·융합(1.3km); 서대전여자고등학교:제2외국어·국제(4.2km),3.9314591852915726,rl_policy
대전복수고등학교,85.2858499442755,88.9999243929019,6,서대전여자고등학교:정보·AI(2.7km); 대전관저고등학교:정보·AI(3.3km); 호수돈여자고등학교:진로·융합(4.5km); 대전관저고등학교:제2외국어·국제(3.3km); 대전관저고등학교:진로·융합(3.3km); 서대전여자고등학교:제2외국어·국제(2.7km),3.7140744486264055,rl_policy
동방고등학교,84.72697741366652,87.81662587585302,5,서대전여자고등학교:정보·AI(3.7km); 대전관저고등학교:정보·AI(1.4km); 대전관저고등학교:제2외국어·국제(1.4km); 대전관저고등학교:진로·융합(1.4km); 서대전여자고등학교:제2외국어·국제(3.7km),3.089648462186503,rl_policy
유성고등학교,88.8478605935543,91.77519001267792,6,서대전여자고등학교:정보·AI(3.9km); 서대전고등학교:정보·AI(3.3km); 대전관저고등학교:정보·AI(4.3km); 대전관저고등학교:제2외국어·국제(4.3km); 대전관저고등학교:진로·융합(4.3km); 서대전여자고등학교:제2외국어·국제(3.9km),2.927329419123623,rl_policy
대전만년고등학교,76.02388625975068,78.43775780545536,3,서대전여자고등학교:정보·AI(4.4km); 서대전고등학교:정보·AI(0.9km); 서대전여자고등학교:제2외국어·국제(4.4km),2.41387154570468,rl_policy
대전용산고등학교,84.77782738475582,86.73004923450438,2,대전용산고등학교:진로·융합(0.0km); 대전이문고등학교:정보·AI(3.8km),1.952221849748554,rl_policy
명석고등학교,85.94255247833516,87.32291346418333,2,명석고등학교:정보·AI(0.0km); 호수돈여자고등학교:진로·융합(4.6km),1.3803609858481707,rl_policy
유성여자고등학교,87.21694962479796,87.94942827462509,1,서대전고등학교:정보·AI(4.5km),0.7324786498271294,rl_policy
청란여자고등학교,86.84337716083385,87.45563674221995,1,호수돈여자고등학교:진로·융합(2.2km),0.6122595813860983,rl_policy
대전지족고등학교,78.74647883938047,78.74647883938047,0,,0.0,rl_policy
대전반석고등학교,83.773850545737,83.773850545737,0,,0.0,rl_policy
서대전여자고등학교,68.51872173427842,85.28688713191454,7,보문고등학교:진로·융합(5.0km); 호수돈여자고등학교:제2외국어·국제(4.0km); 보문고등학교:정보·AI(5.0km); 대전동산고등학교:예체능(3.4km); 대전동산고등학교:인문·사회(3.4km); 대전관저고등학교:정보·AI(3.4km),16.768165397636125,greedy_baseline
우송고등학교,68.56413326413296,84.39370978774681,5,보문고등학교:진로·융합(1.7km); 호수돈여자고등학교:제2외국어·국제(2.7km); 보문고등학교:정보·AI(1.7km); 대전동산고등학교:예체능(4.1km); 대전동산고등학교:인문·사회(4.1km),15.829576523613852,greedy_baseline
보문고등학교,69.97086128226577,85.2788482417491,6,보문고등학교:진로·융합(0.0km); 호수돈여자고등학교:제2외국어·국제(1.4km); 보문고등학교:정보·AI(0.0km); 대전동산고등학교:예체능(2.9km); 대전동산고등학교:인문·사회(2.9km); 서대전여자고등학교:자연·공학(5.0km),15.30798695948333,greedy_baseline
신탄진고등학교,68.53966045140653,83.30597707897779,2,대전용산고등학교:정보·AI(4.8km); 대전용산고등학교:진로·융합(4.8km),14.766316627571257,greedy_baseline
대전가오고등학교,74.01310350323638,84.31903466481876,5,보문고등학교:진로·융합(4.0km); 호수돈여자고등학교:제2외국어·국제(4.0km); 보문고등학교:정보·AI(4.0km); 대전동산고등학교:예체능(4.5km); 대전동산고등학교:인문·사회(4.5km),10.305931161582379,greedy_baseline
대전동산고등학교,75.11479494364761,85.1979356884976,6,보문고등학교:진로·융합(2.9km); 호수돈여자고등학교:제2외국어·국제(1.5km); 보문고등학교:정보·AI(2.9km); 대전동산고등학교:예체능(0.0km); 대전동산고등학교:인문·사회(0.0km); 서대전여자고등학교:자연·공학(3.4km),10.083140744849985,greedy_baseline
남대전고등학교,75.26052646357951,85.21923278764491,5,보문고등학교:진로·융합(2.9km); 호수돈여자고등학교:제2외국어·국제(2.1km); 보문고등학교:정보·AI(2.9km); 대전동산고등학교:예체능(2.2km); 대전동산고등학교:인문·사회(2.2km),9.958706324065403,greedy_baseline
동대전고등학교,75.91778769034734,85.73909498129196,5,보문고등학교:진로·융합(2.1km); 호수돈여자고등학교:제2외국어·국제(3.4km); 보문고등학교:정보·AI(2.1km); 대전동산고등학교:예체능(4.8km); 대전동산고등학교:인문·사회(4.8km),9.821307290944617,greedy_baseline
대전괴정고등학교,79.20607143050026,89.02281080909513,7,보문고등학교:진로·융합(4.1km); 호수돈여자고등학교:제2외국어·국제(3.5km); 보문고등학교:정보·AI(4.1km); 대전동산고등학교:예체능(3.5km); 대전동산고등학교:인문·사회(3.5km); 대전관저고등학교:정보·AI(4.9km),9.816739378594875,greedy_baseline
