_norm_name,학교명,위도,경도,주소,SCHUL_NM,SD_SCHUL_CODE,HS_SC_NM,is_general_high_neis,학생수계,학급수계,2학년학생수,3학년학생수,교사수_알리미,교원총계,일반교사,일반교실,교과교실,특별교실,컴퓨터실,멀티미디어실,체육관,강당,진로상담실,is_general_high,과목수,계열폭,계열균형,공동수업과목수,과목다양성,계열폭점수,계열균형성,SAI,계열과목수_인문·사회,계열과목수_자연·공학,계열과목수_정보·AI,계열과목수_예체능,계열과목수_제2외국어·국제,계열과목수_진로·융합,SAI_algorithm
유성고,유성고등학교,36.34921738,127.334775,대전광역시 유성구 유성대로654번길 130,유성고등학교,7430042,일반고,True,975,38,332,334,69,83,51,37.0,0.0,6,2.0,0.0,1.0,0.0,1.0,True,66,6,0.8291506967616497,0,68.75,100.0,82.91506967616496,90.89527438665775,25,20,2,7,9,3,sai_v4_incremental_offerings
청란여자고,청란여자고등학교,36.31073792,127.4295277,대전광역시 중구 보문로95번길 40,청란여자고등학교,7430066,일반고,True,380,24,128,121,45,47,13,24.0,0.0,5,1.0,0.0,1.0,0.0,1.0,True,50,6,0.8506974755312134,0,52.083333333333336,100.0,85.06974755312135,89.9827449769258,16,17,2,4,8,3,sai_v4_incremental_offerings
유성여자고,유성여자고등학교,36.38458956,127.3289254,대전광역시 유성구 은구비로138번길 70,유성여자고등학교,7430064,일반고,True,515,24,171,183,46,49,23,24.0,6.0,5,1.0,1.0,1.0,0.0,2.0,True,56,6,0.831814324255311,0,58.333333333333336,100.0,83.1814324255311,89.94683468226923,18,20,2,7,7,2,sai_v4_incremental_offerings
명석고,명석고등학교,36.35298746,127.4542462,대전광역시 동구 우암로 380,명석고등학교,7430056,일반고,True,673,34,226,246,62,67,27,38.0,0.0,9,2.0,0.0,1.0,1.0,0.0,True,53,6,0.8101813023366693,0,55.208333333333336,100.0,81.01813023366692,88.87717891511676,19,19,3,3,7,2,sai_v4_incremental_offerings
대전복수고,대전복수고등학교,36.30377161,127.3735857,대전광역시 서구 혜천로 66,대전복수고등학교,7430253,일반고,True,637,26,209,232,53,66,31,26.0,6.0,6,1.0,0.0,1.0,0.0,1.0,True,56,6,0.7766400476689552,0,58.333333333333336,100.0,77.66400476689552,88.01573500174676,24,17,1,5,7,2,sai_v4_incremental_offerings
대전용산고,대전용산고등학교,36.42100777,127.3959054,대전광역시 유성구 용산2로 2-16,대전용산고등학교,7430239,일반고,True,825,32,263,296,65,75,41,32.0,5.0,4,1.0,0.0,1.0,0.0,1.0,True,49,6,0.7966078760176539,0,51.041666666666664,100.0,79.66078760176539,87.98544232728456,18,16,1,7,6,1,sai_v4_incremental_offerings
동방고,동방고등학교,36.30033708,127.3462432,대전광역시 서구 계백로 1106,동방고등학교,7430244,일반고,True,793,30,263,279,63,71,29,30.0,7.0,5,1.0,1.0,1.0,0.0,2.0,True,51,6,0.7853028029520482,0,53.125,100.0,78.53028029520482,87.79809810332169,18,17,1,4,10,1,sai_v4_incremental_offerings
대전둔원고,대전둔원고등학교,36.34283137,127.3733872,대전광역시 서구 대덕대로 101,대전둔원고등학교,7430142,일반고,True,740,31,248,263,58,69,43,31.0,8.0,5,1.0,0.0,1.0,0.0,1.0,True,58,6,0.7611739271197514,0,60.416666666666664,100.0,76.11739271197514,87.68275411585797,23,20,1,6,7,1,sai_v4_incremental_offerings
대전반석고,대전반석고등학교,36.38691878,127.3135242,대전광역시 유성구 지족로 332,대전반석고등학교,7430238,일반고,True,864,32,279,309,62,74,41,32.0,3.0,5,1.0,0.0,0.0,1.0,1.0,True,50,6,0.7629967150998747,0,52.083333333333336,100.0,76.29967150998746,86.91321836182895,20,17,1,4,7,1,sai_v4_incremental_offerings
대전중앙고,대전중앙고등학교,36.33842277,127.4147891,대전광역시 중구 대종로 634,대전중앙고등학교,7430052,일반고,True,481,27,171,161,52,57,14,27.0,4.0,5,1.0,0.0,2.0,0.0,2.0,True,43,6,0.7711842696097697,0,44.79166666666667,100.0,77.11842696097698,86.47061610300862,16,16,1,4,5,1,sai_v4_incremental_offerings
