algorithm_id,algorithm,n,display_offset,mean_after_raw,std_after_raw,min_after_raw,mean_after,std_after,min_after,mean_after_display,mean_delta,improved_schools
greedy_baseline,Greedy,39,0.0,86.81291703078925,4.038585024397224,72.36149953186631,86.81291703078925,4.038585024397224,72.36149953186631,86.81291703078925,5.901889911954699,31
rl_policy,RL,39,-1.0,88.69781380525893,2.3179485886110474,80.51265041093507,87.69781380525893,2.3179485886110474,79.51265041093507,87.69781380525893,7.786786686424377,38
actor_critic,Actor-Critic,39,0.0,88.73524087549188,2.293716014013933,80.01432913762244,88.73524087549188,2.293716014013933,80.01432913762244,88.73524087549188,7.824213756657343,36
