subject,standard_subject,domain,method,ignored,ignore_reason
생활과한문,생활과한문,제2외국어·국제,rule,False,
서양화1,서양화1,예체능,rule,False,
서양화2,서양화2,예체능,rule,False,
서양화4,서양화4,예체능,rule,False,
성악2,성악2,예체능,rule,False,
성악3,성악3,예체능,rule,False,
성악4,성악4,예체능,rule,False,
성악5,성악5,예체능,rule,False,
세계문제와미래사회,세계문제와미래사회,인문·사회,rule,False,
세계사,세계사,인문·사회,dict,False,
세계사_세계사2-3,세계사_세계,인문·사회,rule,False,
세계지리,세계지리,인문·사회,rule,False,
수학1,수학1,자연·공학,rule,False,
수학2,수학2,자연·공학,rule,False,
수학과제탐구,수학과제탐구,자연·공학,rule,False,
수학여행,수학여행,자연·공학,rule,False,
수학적사고와벡터,수학적사고와벡터,자연·공학,rule,False,
수학적사고와적분,수학적사고와적분,자연·공학,rule,False,
수학적사고와통계,수학적사고와통계,자연·공학,rule,False,
스포츠생활,스포츠생활,예체능,rule,False,
스포츠생활6,스포츠생활6,예체능,rule,False,
스포츠생활7,스포츠생활7,예체능,rule,False,
시창·청음,시창·청음,예체능,rule,False,
시창·청음1,시창·청음1,예체능,rule,False,
시창청음2,시창청음2,예체능,rule,False,
식품과영양,식품과영양,진로·융합,rule,False,
식품과학,식품과학,자연·공학,rule,False,
식품안전과건강,식품안전과건강,진로·융합,rule,False,
신재생에너지일반,신재생에너지일반,진로·융합,rule,False,
실용경제,실용경제,인문·사회,rule,False,
실용국어,실용국어,인문·사회,rule,False,
실용수학,실용수학,자연·공학,rule,False,
실용영어,실용영어,제2외국어·국제,rule,False,
실용음악2,실용음악2,예체능,rule,False,
실용음악3,실용음악3,예체능,rule,False,
심리학,심리학,인문·사회,rule,False,
심리학A토의2,심리학,인문·사회,override,False,
심화국어,심화국어,인문·사회,rule,False,
심화수학1,심화수학1,자연·공학,rule,False,
심화수학2,심화수학2,자연·공학,rule,False,
심화영어1,심화영어1,제2외국어·국제,rule,False,
심화영어2,심화영어2,제2외국어·국제,rule,False,
심화영어독해1,심화영어독해1,제2외국어·국제,rule,False,
심화영어독해2,심화영어독해2,제2외국어·국제,rule,False,
심화영어작문1,심화영어작문1,제2외국어·국제,rule,False,
심화영어회화1,심화영어회화1,제2외국어·국제,rule,False,
안무2,안무2,예체능,rule,False,
안무3,안무3,예체능,rule,False,
안무4,안무4,예체능,rule,False,
안무5,안무5,예체능,rule,False,
야영활동,야영활동,예체능,override,False,
언어와매체,언어와매체,인문·사회,rule,False,
여행지리,여행지리,인문·사회,rule,False,
역사과제연구,역사과제연구,자연·공학,rule,False,
연극제작실습2,연극제작실습2,예체능,rule,False,
연극제작실습3,연극제작실습3,예체능,rule,False,
연극제작실습4,연극제작실습4,예체능,rule,False,
연극제작실습5,연극제작실습5,예체능,rule,False,
연기2,연기2,예체능,rule,False,
연기3,연기3,예체능,rule,False,
연기4,연기4,예체능,rule,False,
