episode,reward,step_reward_sum,value_loss,mean_advantage,loss,selected_count,best_reward
1,37.670834997857725,37.670834997857725,386.55792236328125,15.322099685668945,1213.476806640625,10,37.670834997857725
2,21.809827491879656,21.809827491879656,75.35623931884766,6.344128608703613,455.9645690917969,10,37.670834997857725
3,38.69468393354994,38.69468393354994,357.02978515625,14.199081420898438,1107.3494873046875,10,38.69468393354994
4,20.368106547094882,20.368106547094882,81.28440856933594,7.1263628005981445,512.1412353515625,10,38.69468393354994
5,20.097359456287677,20.097359456287677,76.31340789794922,6.7767815589904785,487.0663146972656,10,38.69468393354994
6,21.344994600278227,21.344994600278227,84.90287780761719,7.358855247497559,525.9380493164062,10,38.69468393354994
7,38.80475346585051,38.80475346585051,435.50311279296875,19.52402114868164,1462.815185546875,10,38.80475346585051
8,37.11419235617789,37.11419235617789,418.62506103515625,19.99208641052246,1510.789794921875,10,38.80475346585051
9,20.020352893310406,20.020352893310406,80.61674499511719,7.574854850769043,546.8152465820312,10,38.80475346585051
10,39.498960965938075,39.498960965938075,377.3336181640625,14.939064025878906,1164.824951171875,10,39.498960965938075
11,38.52991247679573,38.52991247679573,320.01556396484375,13.953062057495117,1067.1611328125,10,39.498960965938075
12,38.81993572350538,38.81993572350538,374.99481201171875,15.643529891967773,1210.3218994140625,10,39.498960965938075
13,22.048031627466752,22.048031627466752,119.2176742553711,9.335847854614258,678.6620483398438,10,39.498960965938075
14,20.10854036883287,20.10854036883287,75.70747375488281,6.871351718902588,494.512939453125,10,39.498960965938075
15,37.39934417624035,37.39934417624035,338.3426513671875,14.405092239379883,1126.954833984375,10,39.498960965938075
16,41.91252931136701,41.91252931136701,505.77764892578125,21.598220825195312,1630.2860107421875,10,41.91252931136701
17,21.120397188646013,21.120397188646013,64.62019348144531,5.672214031219482,403.2601013183594,10,41.91252931136701
18,39.43105475341679,39.43105475341679,467.62017822265625,20.265869140625,1565.8917236328125,10,41.91252931136701
19,25.63236799505677,25.63236799505677,116.14244079589844,8.417719841003418,619.1849365234375,10,41.91252931136701
20,37.28446146439676,37.28446146439676,406.54559326171875,19.787324905395508,1463.8555908203125,10,41.91252931136701
21,20.834561299369827,20.834561299369827,81.25557708740234,7.189739227294922,521.9592895507812,10,41.91252931136701
22,22.9179757553439,22.9179757553439,90.02850341796875,7.289775848388672,527.1769409179688,10,41.91252931136701
23,37.86384864094811,37.86384864094811,298.54644775390625,11.198470115661621,896.0286865234375,10,41.91252931136701
24,17.957694332074787,17.957694332074787,54.846946716308594,6.07749080657959,429.4886474609375,10,41.91252931136701
25,37.98248658103432,37.98248658103432,352.38348388671875,15.467376708984375,1188.778564453125,10,41.91252931136701
26,19.841832602312984,19.841832602312984,69.8580322265625,6.203533172607422,454.4903564453125,10,41.91252931136701
27,21.345964059207063,21.345964059207063,69.73643493652344,5.611214637756348,406.2333679199219,10,41.91252931136701
28,22.61884400531238,22.61884400531238,97.81230926513672,7.495962619781494,538.274658203125,10,41.91252931136701
29,21.02435352882079,21.02435352882079,83.23247528076172,7.048287391662598,508.8931579589844,10,41.91252931136701
30,20.374316331277058,20.374316331277058,67.76031494140625,5.449977397918701,398.9307861328125,10,41.91252931136701
31,36.78889828565394,36.78889828565394,336.23931884765625,14.293726921081543,1117.6016845703125,10,41.91252931136701
32,37.10660492828866,37.10660492828866,383.61663818359375,19.23567008972168,1461.823974609375,10,41.91252931136701
33,22.153245726351983,22.153245726351983,78.33744049072266,6.2788615226745605,457.5671081542969,10,41.91252931136701
34,22.601632948178466,22.601632948178466,88.94513702392578,6.9455156326293945,509.64215087890625,10,41.91252931136701
35,38.55914692740223,38.55914692740223,349.4371032714844,14.602508544921875,1135.483642578125,10,41.91252931136701
36,21.31771066059139,21.31771066059139,65.84042358398438,5.6976823806762695,407.148193359375,10,41.91252931136701
37,22.162770834323705,22.162770834323705,72.71684265136719,6.382318019866943,461.3306884765625,10,41.91252931136701
38,37.47201905536155,37.47201905536155,340.64178466796875,17.994142532348633,1332.0445556640625,10,41.91252931136701
39,21.528803123019323,21.528803123019323,66.38221740722656,5.838051795959473,422.8990478515625,10,41.91252931136701
40,36.8605069590409,36.8605069590409,363.63360595703125,17.525354385375977,1355.0198974609375,10,41.91252931136701
41,43.49688153946998,43.49688153946998,498.48504638671875,20.68767547607422,1609.4761962890625,10,43.49688153946998
42,21.243328206507268,21.243328206507268,76.83023071289062,6.146505832672119,451.3364562988281,10,43.49688153946998
43,22.27481170884079,22.27481170884079,81.31124114990234,5.692713737487793,419.9877014160156,10,43.49688153946998
44,22.619514506362883,22.619514506362883,58.216163635253906,4.453057289123535,322.3879699707031,10,43.49688153946998
45,22.07442148776732,22.07442148776732,56.499183654785156,4.322991371154785,314.18206787109375,10,43.49688153946998
46,22.823949987926103,22.823949987926103,73.88973236083984,5.412135601043701,393.9879150390625,10,43.49688153946998
47,21.85073337371555,21.85073337371555,71.35990905761719,5.108931541442871,375.41632080078125,10,43.49688153946998
48,39.99493064299698,39.99493064299698,369.491455078125,16.065494537353516,1222.37158203125,10,43.49688153946998
49,20.276604055171166,20.276604055171166,67.23521423339844,6.203279495239258,445.93621826171875,10,43.49688153946998
50,21.028997550288263,21.028997550288263,63.00592803955078,5.087972164154053,370.85711669921875,10,43.49688153946998
51,37.77045913606976,37.77045913606976,325.0745544433594,16.0334415435791,1229.8680419921875,10,43.49688153946998
52,39.395703351276936,39.395703351276936,360.3077697753906,18.365652084350586,1363.6766357421875,10,43.49688153946998
53,35.31290248361103,35.31290248361103,303.3196105957031,16.900638580322266,1266.5294189453125,10,43.49688153946998
54,22.83925828693486,22.83925828693486,62.9328727722168,4.4278693199157715,325.5325927734375,10,43.49688153946998
55,22.741978051542155,22.741978051542155,60.250633239746094,4.600865364074707,335.2008972167969,10,43.49688153946998
56,39.15669990852676,39.15669990852676,351.271728515625,13.55333137512207,1089.1424560546875,10,43.49688153946998
57,22.566241354627593,22.566241354627593,75.67601776123047,6.081097602844238,442.4837646484375,10,43.49688153946998
58,21.121502088503917,21.121502088503917,57.63191604614258,4.837967395782471,349.4594421386719,10,43.49688153946998
59,21.442253401658917,21.442253401658917,47.263057708740234,4.178061008453369,298.4952392578125,10,43.49688153946998
60,37.3215548019677,37.3215548019677,294.1753845214844,16.460100173950195,1216.295166015625,10,43.49688153946998
61,21.689836978552385,21.689836978552385,56.14807891845703,4.482621192932129,333.1562805175781,10,43.49688153946998
62,22.79424725334973,22.79424725334973,58.307037353515625,4.044733047485352,302.6562194824219,10,43.49688153946998
63,18.698521514936544,18.698521514936544,40.32754135131836,2.553786516189575,199.3925018310547,10,43.49688153946998
64,38.21746921269709,38.21746921269709,317.6900329589844,15.483917236328125,1175.64453125,10,43.49688153946998
65,38.78253824117164,38.78253824117164,285.2494201660156,16.06212043762207,1165.6529541015625,10,43.49688153946998
66,23.223709578906984,23.223709578906984,56.295310974121094,3.2807114124298096,248.46377563476562,10,43.49688153946998
67,37.818445538681715,37.818445538681715,261.4586486816406,12.806556701660156,943.0360717773438,10,43.49688153946998
68,35.941421998149636,35.941421998149636,261.40814208984375,11.712045669555664,904.681396484375,10,43.49688153946998
69,39.587308769719456,39.587308769719456,309.2470703125,9.186264038085938,798.886962890625,10,43.49688153946998
70,38.76712780625472,38.76712780625472,223.2889862060547,6.638497352600098,567.5142822265625,10,43.49688153946998
71,20.88397401549005,20.88397401549005,45.9461669921875,2.247894287109375,182.0185546875,10,43.49688153946998
72,38.455146515494505,38.455146515494505,296.1854553222656,11.392220497131348,924.3057250976562,10,43.49688153946998
73,38.17045262422482,38.17045262422482,274.25762939453125,13.027536392211914,1005.4248657226562,10,43.49688153946998
74,23.125893282893145,23.125893282893145,63.079345703125,2.5711097717285156,198.01596069335938,10,43.49688153946998
75,38.25271363781333,38.25271363781333,232.7003936767578,8.755011558532715,696.6039428710938,10,43.49688153946998
76,20.204090006846773,20.204090006846773,47.74191665649414,1.7144155502319336,140.7662811279297,10,43.49688153946998
77,38.844712917681214,38.844712917681214,268.95465087890625,12.8101167678833,979.0933837890625,10,43.49688153946998
78,21.75529968656849,21.75529968656849,57.07393264770508,0.4420018196105957,61.59687805175781,10,43.49688153946998
79,20.327356310203854,20.327356310203854,50.0365104675293,1.9363762140274048,163.17796325683594,10,43.49688153946998
80,37.885601644817555,37.885601644817555,244.30349731445312,13.262689590454102,1007.9584350585938,10,43.49688153946998
81,37.81882380277246,37.81882380277246,278.4458923339844,12.937841415405273,979.79638671875,10,43.49688153946998
82,22.502794048989834,22.502794048989834,67.0726318359375,3.570723056793213,278.05438232421875,10,43.49688153946998
83,22.371139980463354,22.371139980463354,48.65949249267578,0.2733076512813568,47.48420333862305,10,43.49688153946998
84,21.61211468188714,21.61211468188714,45.539268493652344,0.5345709323883057,70.69557189941406,10,43.49688153946998
85,38.168023825937574,38.168023825937574,237.14877319335938,13.082632064819336,980.81298828125,10,43.49688153946998
86,17.771143876193335,17.771143876193335,42.83002471923828,-1.2309449911117554,-48.20066452026367,10,43.49688153946998
87,21.186979559780507,21.186979559780507,52.886940002441406,0.7775899171829224,86.4351806640625,10,43.49688153946998
88,37.67266702399991,37.67266702399991,248.9962158203125,10.47513484954834,830.2506713867188,10,43.49688153946998
89,22.79189083382862,22.79189083382862,56.24257278442383,-0.6409029960632324,7.487459182739258,10,43.49688153946998
90,18.466596490170684,18.466596490170684,45.651275634765625,-1.3476097583770752,-56.30115509033203,10,43.49688153946998
91,26.74805661098473,26.74805661098473,59.28717803955078,3.8988037109375,288.5686340332031,10,43.49688153946998
92,37.44833511630908,37.44833511630908,225.6758575439453,7.213040351867676,590.0902709960938,10,43.49688153946998
93,39.08440564366502,39.08440564366502,207.91812133789062,12.793790817260742,940.6343994140625,10,43.49688153946998
94,38.500265392513825,38.500265392513825,231.5884246826172,8.181869506835938,650.3729248046875,10,43.49688153946998
95,39.08232385691901,39.08232385691901,264.66973876953125,10.642378807067871,841.53662109375,10,43.49688153946998
96,20.981008339204802,20.981008339204802,45.603206634521484,-0.6281706094741821,-4.889992713928223,10,43.49688153946998
97,38.47074378853957,38.47074378853957,213.5442657470703,9.321815490722656,730.9251098632812,10,43.49688153946998
98,21.302987445433892,21.302987445433892,45.83777618408203,0.14583678543567657,45.73085403442383,10,43.49688153946998
99,23.168780489083478,23.168780489083478,61.50432205200195,-0.8054889440536499,1.6431920528411865,10,43.49688153946998
100,18.854104703744802,18.854104703744802,58.54655075073242,-2.833843231201172,-147.44879150390625,10,43.49688153946998
101,21.852768918102875,21.852768918102875,52.18372344970703,0.22769685089588165,45.41144561767578,10,43.49688153946998
102,38.96469359834386,38.96469359834386,215.78854370117188,10.980293273925781,849.6354370117188,10,43.49688153946998
103,37.889760827849855,37.889760827849855,204.1817626953125,13.430673599243164,993.5626220703125,10,43.49688153946998
104,20.972097289977153,20.972097289977153,62.3698844909668,-1.6463466882705688,-53.428348541259766,10,43.49688153946998
105,36.73734271846397,36.73734271846397,155.71839904785156,11.190488815307617,816.3617553710938,10,43.49688153946998
106,21.02787243947881,21.02787243947881,55.514617919921875,-1.9410476684570312,-94.43568420410156,10,43.49688153946998
107,20.479980000554974,20.479980000554974,63.29486083984375,-2.1949660778045654,-90.55023193359375,10,43.49688153946998
108,22.993032190293363,22.993032190293363,59.439971923828125,-1.3904733657836914,-56.10890579223633,10,43.49688153946998
109,22.12045194264311,22.12045194264311,57.212646484375,-2.1974635124206543,-102.79579162597656,10,43.49688153946998
110,22.164758504869532,22.164758504869532,62.07707977294922,-1.4321845769882202,-43.022857666015625,10,43.49688153946998
111,38.745925649504606,38.745925649504606,172.84359741210938,9.86625862121582,733.5028686523438,10,43.49688153946998
112,20.94556627689533,20.94556627689533,62.415428161621094,-2.73496675491333,-125.43571472167969,10,43.49688153946998
113,24.066541662869803,24.066541662869803,55.57011032104492,0.6749296188354492,84.64418029785156,10,43.49688153946998
114,40.93669276652737,40.93669276652737,220.7167205810547,8.803581237792969,692.20166015625,10,43.49688153946998
115,19.31287217146819,19.31287217146819,43.390262603759766,-1.7406162023544312,-84.41622924804688,10,43.49688153946998
116,36.603272459328736,36.603272459328736,139.95938110351562,10.475295066833496,764.5208740234375,10,43.49688153946998
117,37.4234639996309,37.4234639996309,213.4022979736328,9.314592361450195,725.135986328125,10,43.49688153946998
118,23.0098273691511,23.0098273691511,70.115234375,-2.4148833751678467,-113.07670593261719,10,43.49688153946998
119,38.92735858094138,38.92735858094138,223.979248046875,9.839912414550781,757.555419921875,10,43.49688153946998
