source,row_id,name,road,jibun,method,lat,lon,n_candidates,query_used,failure_reason,attempts,needs_review
public_library,0,갈마도서관,대전광역시 서구 신갈마로127번길 138 (갈마동),,도로명원본,36.3408898197291,127.365696564695,1,대전광역시 서구 신갈마로127번길 138 (갈마동),,도로명원본:대전광역시 서구 신갈마로127번길 138 (갈마동) -> 1,False
public_library,1,관평도서관,대전광역시 유성구 테크노4로 131 (관평동),,도로명원본,36.4231832802637,127.388468208674,1,대전광역시 유성구 테크노4로 131 (관평동),,도로명원본:대전광역시 유성구 테크노4로 131 (관평동) -> 1,False
public_library,2,구암도서관,대전광역시 유성구 유성대로626번길 57 (구암동),,도로명원본,36.3492670852832,127.33025451134,1,대전광역시 유성구 유성대로626번길 57 (구암동),,도로명원본:대전광역시 유성구 유성대로626번길 57 (구암동) -> 1,False
public_library,3,구즉도서관,대전광역시 유성구 와룡로37번길 20 (송강동),,도로명원본,36.4294714729169,127.380446935189,1,대전광역시 유성구 와룡로37번길 20 (송강동),,도로명원본:대전광역시 유성구 와룡로37번길 20 (송강동) -> 1,False
public_library,4,노은도서관,대전광역시 유성구 노은동로234번길 34 (지족동),,도로명원본,36.3814932772959,127.320653500911,1,대전광역시 유성구 노은동로234번길 34 (지족동),,도로명원본:대전광역시 유성구 노은동로234번길 34 (지족동) -> 1,False
public_library,5,둔산도서관,대전광역시 서구 청사로 263 (둔산동),,도로명원본,36.3600437026058,127.393184785844,1,대전광역시 서구 청사로 263 (둔산동),,도로명원본:대전광역시 서구 청사로 263 (둔산동) -> 1,False
public_library,6,석봉도서관,대전광역시 대덕구 대덕대로 1579 (석봉동),,도로명원본,36.4507473081822,127.423237650257,1,대전광역시 대덕구 대덕대로 1579 (석봉동),,도로명원본:대전광역시 대덕구 대덕대로 1579 (석봉동) -> 1,False
public_library,7,송촌도서관,대전광역시 대덕구 송촌로 59 (송촌동),,도로명원본,36.3600943801167,127.440107295386,1,대전광역시 대덕구 송촌로 59 (송촌동),,도로명원본:대전광역시 대덕구 송촌로 59 (송촌동) -> 1,False
public_library,8,안산도서관,대전광역시 대덕구 계족로663번길 25 (법동),,도로명원본,36.3682393064594,127.427181851552,1,대전광역시 대덕구 계족로663번길 25 (법동),,도로명원본:대전광역시 대덕구 계족로663번길 25 (법동) -> 1,False
public_library,9,용산도서관,대전광역시 유성구 배울1로 118 (용산동),,도로명원본,36.4168841838763,127.392341956408,1,대전광역시 유성구 배울1로 118 (용산동),,도로명원본:대전광역시 유성구 배울1로 118 (용산동) -> 1,False
