episode,reward,baseline,advantage,loss,selected_count,best_reward
1,43.62522739344777,43.62522739344777,0.0,-2.1108107566833496,10,43.62522739344777
2,33.561416598329956,42.61884631393599,-9.057429715606034,-640.5077514648438,10,43.62522739344777
3,30.444800985953407,41.401441781137734,-10.956640795184327,-773.6421508789062,10,43.62522739344777
4,78.84082544065905,45.14538014708987,33.69544529356918,2369.466552734375,10,78.84082544065905
5,44.8527123500571,45.11611336738659,-0.2634010173294925,-20.64214515686035,10,78.84082544065905
6,39.433846670688744,44.547886697716805,-5.114040027028061,-362.1876525878906,10,78.84082544065905
7,56.603197407795825,45.7534177687247,10.849779639071123,761.4072875976562,10,78.84082544065905
8,44.19254721602338,45.59733071345457,-1.4047834974311897,-100.90592956542969,10,78.84082544065905
9,22.688551087368666,43.30645275084598,-20.617901663477312,-1456.708740234375,10,78.84082544065905
10,16.54685943823409,40.63049341958479,-24.083633981350697,-1702.0908203125,10,78.84082544065905
11,39.28810569711914,40.496254647338226,-1.2081489502190834,-86.81755065917969,10,78.84082544065905
12,37.265194966230666,40.17314867922747,-2.9079537129968003,-206.87750244140625,10,78.84082544065905
13,37.08944067118767,39.86477787842349,-2.775337207235822,-197.68710327148438,10,78.84082544065905
14,31.89787528707031,39.06808761928817,-7.1702123322178615,-508.19366455078125,10,78.84082544065905
15,43.1547576851483,39.476754625874186,3.6780030592741113,257.0699157714844,10,78.84082544065905
16,36.92118830506507,39.221197993793275,-2.3000096887282027,-164.47544860839844,10,78.84082544065905
17,41.590233391637646,39.45810153357772,2.132131858059928,147.92845153808594,10,78.84082544065905
18,35.77913409718182,39.09020478993813,-3.31107069275631,-234.98106384277344,10,78.84082544065905
19,19.82684865774603,37.16386917671892,-17.33702051897289,-1239.393798828125,10,78.84082544065905
20,37.51683408212791,37.19916566725982,0.3176684148680877,20.08479881286621,10,78.84082544065905
21,32.180033684745034,36.69725246900835,-4.517218784263314,-321.4300842285156,10,78.84082544065905
22,33.75699471450751,36.40322669355827,-2.6462319790507536,-187.39683532714844,10,78.84082544065905
23,68.49978280820939,39.612882305023376,28.886900503186013,2012.6912841796875,10,78.84082544065905
24,31.06679226026426,38.758273300547465,-7.691481040283204,-545.927978515625,10,78.84082544065905
25,35.71630630900836,38.45407660139355,-2.7377702923851928,-195.5436553955078,10,78.84082544065905
26,29.549642274163155,37.56363316867051,-8.013990894507359,-564.1705932617188,10,78.84082544065905
27,67.8883731602241,40.59610716782587,27.292265992398235,1899.569091796875,10,78.84082544065905
28,47.2157284462665,41.258069295669934,5.9576591505965695,408.0918273925781,10,78.84082544065905
29,41.9265778921441,41.32492015531735,0.6016577368267519,39.91972732543945,10,78.84082544065905
30,36.680115084510724,40.86043964823669,-4.180324563725968,-300.00946044921875,10,78.84082544065905
31,50.35797462614698,41.81019314602772,8.547781480119255,583.3862915039062,10,78.84082544065905
32,37.49502605685937,41.37867643711088,-3.8836503802515097,-277.5550842285156,10,78.84082544065905
33,78.3148848819968,45.072297281599475,33.24258760039733,2293.936767578125,10,78.84082544065905
34,56.774021007404194,46.24246965417994,10.531551353224252,735.3856811523438,10,78.84082544065905
35,33.37954006156586,44.95617669491853,-11.57663663335267,-798.6735229492188,10,78.84082544065905
36,51.61930562031687,45.62248958745837,5.996816032858504,405.9258728027344,10,78.84082544065905
37,20.168758188101766,43.07711644752271,-22.908358259420947,-1677.6717529296875,10,78.84082544065905
38,65.59782730502054,45.329187533272496,20.26863977174805,1368.020263671875,10,78.84082544065905
39,63.54031614031569,47.15030039397681,16.390015746338875,1119.91455078125,10,78.84082544065905
40,69.09228603261275,49.34449895784041,19.74778707477234,1336.345458984375,10,78.84082544065905
41,67.36492011789267,51.14654107384563,16.218379044047033,1151.89404296875,10,78.84082544065905
42,52.119856627941566,51.24387262925523,0.8759839986863369,58.363929748535156,10,78.84082544065905
43,44.35207244801464,50.554692611131166,-6.202620163116528,-435.837646484375,10,78.84082544065905
44,85.84803589825712,54.08402693984376,31.764008958413363,2161.859619140625,10,85.84803589825712
45,57.900899837198565,54.465714229579234,3.4351856076193314,229.20399475097656,10,85.84803589825712
46,64.40127365079144,55.45927017170045,8.942003479090985,604.0751342773438,10,85.84803589825712
47,62.393674321249776,56.15271058665539,6.240963734594388,408.6397399902344,10,85.84803589825712
48,54.622315265712096,55.99967105456106,-1.3773557888489663,-94.80728149414062,10,85.84803589825712
49,56.685427006148785,56.06824664971984,0.6171803564289462,40.355506896972656,10,85.84803589825712
50,48.34560589098351,55.29598257384621,-6.950376682862704,-477.25299072265625,10,85.84803589825712
51,77.9871419015625,57.56509850661784,20.42204339494466,1313.5611572265625,10,85.84803589825712
52,58.64082516001352,57.672671171957404,0.9681539880561161,61.47230911254883,10,85.84803589825712
53,37.4668894447206,55.65209299923373,-18.18520355451313,-1302.2562255859375,10,85.84803589825712
54,68.14719239848559,56.90160293915891,11.245589459326673,708.61572265625,10,85.84803589825712
55,69.0417710099399,58.115619746237016,10.926151263702877,687.3954467773438,10,85.84803589825712
56,32.90344995854883,55.594402767468196,-22.690952808919363,-1613.437744140625,10,85.84803589825712
57,46.58506948886181,54.693469439607554,-8.108399950745742,-531.803466796875,10,85.84803589825712
58,44.028087806163505,53.62693127626315,-9.598843470099645,-597.7774658203125,10,85.84803589825712
59,41.456623021781,52.40990045081493,-10.953277429033932,-682.616455078125,10,85.84803589825712
60,34.75899898184995,50.64481030391843,-15.885811322068484,-985.0972900390625,10,85.84803589825712
61,57.14863715596972,51.295192989123564,5.85344416684616,369.548583984375,10,85.84803589825712
62,69.17158916499467,53.082832606710674,16.088756558283997,1038.5775146484375,10,85.84803589825712
63,58.88171060989504,53.662720407029106,5.218990202865932,326.0007629394531,10,85.84803589825712
64,43.000594124428154,52.59650777876901,-9.595913654340855,-615.2701416015625,10,85.84803589825712
65,65.37545308999364,53.87440230989147,11.501050780102169,701.7048950195312,10,85.84803589825712
66,54.57100910279015,53.94406298918133,0.6269461136088168,36.750614166259766,10,85.84803589825712
67,45.254008699994635,53.075057560262664,-7.821048860268029,-491.49444580078125,10,85.84803589825712
68,64.30255692744697,54.19780749698109,10.10474943046588,634.9947509765625,10,85.84803589825712
69,47.73193335835218,53.5512200831182,-5.819286724766023,-376.74163818359375,10,85.84803589825712
70,46.409188081018044,52.83701688290819,-6.4278288018901435,-441.6184997558594,10,85.84803589825712
71,44.243730136057174,51.977688208223086,-7.733958072165912,-475.71258544921875,10,85.84803589825712
72,39.83105151301547,50.763024538702325,-10.931973025686858,-750.2784423828125,10,85.84803589825712
73,47.311464615836144,50.417868546415704,-3.1064039305795603,-187.96768188476562,10,85.84803589825712
74,71.61575973234295,52.537657665008425,19.078102067334527,1153.2095947265625,10,85.84803589825712
75,54.17373776226988,52.70126567473457,1.4724720875353086,91.82203674316406,10,85.84803589825712
76,71.09489294544062,54.54062840180518,16.55426454363544,1000.3709106445312,10,85.84803589825712
77,73.1203762132617,56.39860318295083,16.721773030310864,1027.1441650390625,10,85.84803589825712
78,46.817371492444636,55.440480013900206,-8.62310852145557,-510.88775634765625,10,85.84803589825712
79,65.75325575576595,56.47175758808678,9.281498167679167,541.4529418945312,10,85.84803589825712
80,36.07535952245886,54.432117781523985,-18.356758259065124,-1080.3702392578125,10,85.84803589825712
81,78.31378910260733,56.82028491363232,21.49350418897501,1381.9483642578125,10,85.84803589825712
82,76.27082478558417,58.7653389008275,17.505485884756666,1098.890625,10,85.84803589825712
83,44.965687761238605,57.38537378686861,-12.419686025630007,-747.2987060546875,10,85.84803589825712
84,36.41219676525598,55.28805608470735,-18.875859319451372,-1220.05517578125,10,85.84803589825712
85,64.67748884851683,56.226999361088296,8.450489487428534,535.1419677734375,10,85.84803589825712
86,67.52117181975957,57.35641660695542,10.164755212804153,680.9191284179688,10,85.84803589825712
87,60.5623692181015,57.677011868070025,2.8853573500314766,167.1392364501953,10,85.84803589825712
88,39.39094806445209,55.848405487708234,-16.457457423256145,-1126.7352294921875,10,85.84803589825712
89,43.670888250417974,54.63065376397921,-10.959765513561237,-648.9693603515625,10,85.84803589825712
90,45.61590564168043,53.72917895174933,-8.113273310068905,-488.039794921875,10,85.84803589825712
91,41.101035834758775,52.46636464005028,-11.365328805291504,-761.59326171875,10,85.84803589825712
92,46.7694119309535,51.8966693691406,-5.127257438187094,-341.6992492675781,10,85.84803589825712
93,68.15172492551335,53.52217492477787,14.629550000735478,900.800537109375,10,85.84803589825712
94,57.998919393592566,53.96984937165934,4.029070021933222,247.1585693359375,10,85.84803589825712
